id,skills,exp,grades,projects,extra,offer,hire,pay
389,C++,0,68.52,5,2,0,No,None
390,Data Analysis,0,63.15,8,0,1,No,None
391,Python;C++;Java,0,71.08,4,4,1,No,None
392,SQL;Python;Machine Learning,2,69.96,9,2,1,No,None
393,Python;SQL,5,69.38,1,4,0,No,None
394,SQL;C++,4,67.71,9,4,1,No,None
395,Java,1,82.99,3,4,0,No,None
396,C++;Machine Learning;Java,1,73.12,5,3,0,No,None
397,Java,2,92.81,6,4,0,No,None
398,Machine Learning,1,67.36,6,3,1,No,None
399,Machine Learning;Java,0,78.59,3,4,1,No,None
400,Machine Learning;Java,4,60.55,9,3,1,No,None
401,C++,3,79.27,9,4,0,No,None
402,SQL;C++;Data Analysis,1,62.23,4,0,0,No,None
403,Python;C++;SQL,0,99.11,3,2,0,No,None
404,Machine Learning;Java;Python,3,91.62,9,4,1,Yes,150
405,SQL;Machine Learning,4,79.6,5,0,1,No,None
406,Data Analysis;C++,3,63.46,6,2,0,No,None
407,SQL;C++;Data Analysis,0,83.7,1,1,0,No,None
408,C++,5,90.35,9,4,0,No,None
409,Python;Java,5,67.63,2,1,0,No,None
410,Machine Learning;SQL,3,82.73,7,2,0,No,None
411,SQL;Data Analysis;Python,2,92.57,6,2,0,No,None
412,C++;SQL;Python,3,90.73,0,4,1,No,None
413,Data Analysis;Python;C++,1,92.12,3,0,0,No,None
414,Java;Machine Learning,1,95.17,4,4,1,No,None
415,Java;Data Analysis,5,97.51,2,0,0,No,None
416,SQL;Java;Python,2,76.22,3,4,0,No,None
417,Data Analysis;Python;SQL,0,82.75,9,0,1,No,None
418,Python;Machine Learning,1,91.63,9,3,1,Yes,125
419,Data Analysis;Java,5,87.89,9,0,1,No,None
420,SQL,4,99.82,6,0,1,No,None
421,Data Analysis;C++,5,60.55,7,2,0,No,None
422,Java,1,74.21,8,1,0,No,None
423,Machine Learning,1,71.24,1,4,0,No,None
424,Machine Learning;Data Analysis,5,70.49,3,2,0,No,None
425,Java;SQL,0,68.9,0,1,1,No,None
426,SQL;Data Analysis,3,88.36,2,2,0,No,None
427,C++,1,63.39,7,2,1,No,None
428,Java,5,89.66,6,4,0,No,None
429,Data Analysis,5,87.74,7,3,0,No,None
430,Data Analysis;C++;SQL,2,70.03,5,2,1,No,None
431,C++,3,70.11,4,4,0,No,None
432,SQL,4,85.15,9,0,0,No,None
433,Python;C++;SQL,0,90.49,8,1,1,No,None
434,Data Analysis;SQL;C++,4,95.06,4,4,0,No,None
435,SQL;Python;Java,3,94.09,8,3,0,No,None
436,Python;Machine Learning,3,98.6,3,4,0,Yes,150
437,SQL;Machine Learning;Java,3,83.26,4,4,1,No,None
438,Python;C++;SQL,4,96.35,0,0,1,No,None
439,C++;Python;Java,3,92.34,5,1,0,No,None
440,Python,5,95.79,2,1,0,No,None
441,C++;Python,4,60.47,9,3,0,No,None
442,Java,3,98.64,1,1,0,No,None
443,Java;C++;Machine Learning,5,78.94,5,0,1,No,None
444,Data Analysis;Machine Learning,2,91.93,0,3,1,No,None
445,Machine Learning;Java,3,65.09,8,0,1,No,None
446,Data Analysis;Python,4,75.84,4,0,0,No,None
447,Machine Learning;C++,1,70.86,6,4,1,No,None
448,Python;SQL,3,71.67,9,4,1,No,None
449,C++,1,64.93,8,4,0,No,None
450,Java;SQL,5,92.23,8,2,1,No,None
451,Data Analysis,2,60.37,6,0,0,No,None
452,Machine Learning;SQL,0,72.5,3,1,0,No,None
453,C++,2,66.98,3,3,0,No,None
454,Java;Python,3,83.56,6,2,1,No,None
455,Python;Java,1,70.17,7,4,1,No,None
456,Data Analysis;Machine Learning;Python,1,70.36,6,2,0,No,None
457,SQL,4,79.53,9,2,1,No,None
458,Java,1,86.11,3,0,1,No,None
459,Java;Python;Data Analysis,4,64.85,3,0,0,No,None
460,Java;Data Analysis;SQL,5,67.02,7,1,1,No,None
461,Machine Learning,0,69.89,8,3,1,No,None
462,SQL,3,98.95,6,3,0,No,None
463,Java,4,75.89,2,4,0,No,None
464,SQL;Java;Python,0,83.96,9,1,1,No,None
465,Python;Java;Data Analysis,1,69.66,0,3,0,No,None
466,Java;Machine Learning,1,79.62,4,2,0,No,None
467,Python;Java,0,62.96,5,2,0,No,None
468,Python;Java,1,61.39,8,3,1,No,None
469,C++;Machine Learning;Python,5,78.75,4,2,0,Interview,None
470,Python;C++;Machine Learning,5,75.95,0,2,0,Interview,None
471,Machine Learning;Data Analysis,0,65.48,3,4,1,No,None
472,C++,4,87.5,1,2,1,No,None
473,Java;Machine Learning;Python,4,99.72,3,3,1,Yes,150
474,Data Analysis;Machine Learning;SQL,0,75.83,6,0,1,No,None
475,Data Analysis;Python,4,84.98,8,2,0,No,None
476,C++,4,98.52,2,3,1,No,None
477,C++;Python,5,93.26,2,2,0,No,None
478,Data Analysis;C++,4,78.54,3,1,0,No,None
479,Python,2,89.5,6,4,1,No,None
480,Machine Learning;Java,3,65.13,5,0,1,No,None
481,Java,1,80.48,4,2,1,No,None
482,Machine Learning;Data Analysis,2,71.16,3,3,0,No,None
483,Data Analysis;SQL;C++,4,66.45,7,0,0,No,None
484,Machine Learning;SQL;C++,5,77.05,3,2,1,No,None
485,Machine Learning;C++;Python,0,65.24,2,1,0,No,None
486,Python;Machine Learning;Java,4,87.96,6,3,0,Yes,125
487,C++;Java,5,78.25,1,4,1,No,None
488,SQL;C++,3,81.25,3,2,1,No,None
489,C++;Python,4,65.86,7,3,1,No,None
490,C++;SQL,0,65.59,3,2,1,No,None
491,SQL;Data Analysis;Java,5,83.34,9,4,0,No,None
492,C++;Python;Machine Learning,5,99.4,6,1,1,Yes,150
493,Python,5,63.85,1,4,1,No,None
494,Python;SQL,3,71.43,4,4,0,No,None
495,Machine Learning,4,94.78,3,4,1,No,None
496,Machine Learning,3,62.89,8,0,0,No,None
497,Machine Learning;SQL;Python,1,95.04,6,3,0,Interview,None
498,SQL;C++,1,80.97,8,2,0,No,None
499,Python;SQL;Machine Learning,4,76.33,9,1,0,Yes,125
500,Python;Machine Learning,3,72.39,6,2,1,No,None
501,Java;Data Analysis;C++,0,71.88,1,0,0,No,None
502,Python,5,72.23,1,1,1,No,None
503,Machine Learning;SQL,5,95.39,1,0,0,No,None
504,SQL,4,88.95,4,2,0,No,None
505,Java;C++;Python,1,86.79,0,1,1,No,None
506,Data Analysis;SQL;Python,1,91.95,6,2,0,No,None
507,SQL,5,70.28,1,3,1,No,None
508,SQL;Data Analysis;Machine Learning,4,84.72,3,0,0,No,None
509,Java,3,78.4,8,3,0,No,None
510,Machine Learning,1,91.3,7,3,0,No,None
511,C++;Python;Java,3,72.37,9,2,0,No,None
512,Data Analysis;Python;Machine Learning,1,85.73,1,2,1,Interview,None
513,Machine Learning;Java;C++,1,95.29,3,4,1,No,None
